Output,  L000, L001, L010, L011, L100, L101, L110, L111
000,1,1,1,1,1,1,1,1
001,1,-1,1,-1,1,-1,1,-1
010,1,1,-1,-1,1,1,-1,-1
011,1,-1,-1,1,1,-1,-1,1
100,1,1,1,1,-1,-1,-1,-1
101,1,-1,1,-1,-1,1,-1,1
110,1,1,-1,-1,-1,-1,1,1
111,1,-1,-1,1,-1,1,1,-1
Walsh-Hadamard values:,0,0,0,0,-4,4,-4,-4
